[2021-01-21 06:38:35,969] {{taskinstance.py:655}} INFO - Dependencies all met for <TaskInstance: MarketVol.error_log_analyzer 2021-01-21T06:37:24.920588+00:00 [queued]>
[2021-01-21 06:38:35,981] {{taskinstance.py:655}} INFO - Dependencies all met for <TaskInstance: MarketVol.error_log_analyzer 2021-01-21T06:37:24.920588+00:00 [queued]>
[2021-01-21 06:38:35,982] {{taskinstance.py:866}} INFO - 
--------------------------------------------------------------------------------
[2021-01-21 06:38:35,982] {{taskinstance.py:867}} INFO - Starting attempt 1 of 1
[2021-01-21 06:38:35,983] {{taskinstance.py:868}} INFO - 
--------------------------------------------------------------------------------
[2021-01-21 06:38:36,441] {{bash_operator.py:126}} INFO - [2021-01-14 22:50:11,933] {taskinstance.py:1396} ERROR - [Errno 2] No such file or directory: '/Users/chowli/Documents/Springboard_DE/Projects/mini-projects/Airflow/marketvol/tmp/data/2021-01-14/AAPL.csv'
[2021-01-21 06:38:36,441] {{bash_operator.py:126}} INFO - [2021-01-14 22:49:36,332] {taskinstance.py:1396} ERROR - [Errno 2] No such file or directory: '/Users/chowli/Documents/Springboard_DE/Projects/mini-projects/Airflow/marketvol/tmp/data/2021-01-14/AAPL.csv'
[2021-01-21 06:38:36,442] {{bash_operator.py:126}} INFO - [2021-01-14 22:49:55,819] {taskinstance.py:1396} ERROR - [Errno 2] No such file or directory: '/Users/chowli/Documents/Springboard_DE/Projects/mini-projects/Airflow/marketvol/tmp/data/2021-01-14/AAPL.csv'
[2021-01-21 06:38:36,442] {{bash_operator.py:126}} INFO - [2021-01-14 22:50:09,463] {taskinstance.py:1396} ERROR - [Errno 2] No such file or directory: '/Users/chowli/Documents/Springboard_DE/Projects/mini-projects/Airflow/marketvol/tmp/data/2021-01-14/AAPL.csv'
[2021-01-21 06:38:36,443] {{bash_operator.py:126}} INFO - [2021-01-14 22:50:20,326] {taskinstance.py:1396} ERROR - [Errno 2] No such file or directory: '/Users/chowli/Documents/Springboard_DE/Projects/mini-projects/Airflow/marketvol/tmp/data/2021-01-14/AAPL.csv'
[2021-01-21 06:38:36,444] {{bash_operator.py:126}} INFO - [2021-01-14 22:49:45,951] {taskinstance.py:1396} ERROR - [Errno 2] No such file or directory: '/Users/chowli/Documents/Springboard_DE/Projects/mini-projects/Airflow/marketvol/tmp/data/2021-01-14/AAPL.csv'
[2021-01-21 06:38:36,444] {{bash_operator.py:126}} INFO - [2021-01-14 22:50:03,654] {taskinstance.py:1396} ERROR - [Errno 2] No such file or directory: '/Users/chowli/Documents/Springboard_DE/Projects/mini-projects/Airflow/marketvol/tmp/data/2021-01-14/AAPL.csv'
[2021-01-21 06:38:36,445] {{bash_operator.py:126}} INFO - [2021-01-14 22:50:16,536] {taskinstance.py:1396} ERROR - [Errno 2] No such file or directory: '/Users/chowli/Documents/Springboard_DE/Projects/mini-projects/Airflow/marketvol/tmp/data/2021-01-14/AAPL.csv'
[2021-01-21 06:38:36,445] {{bash_operator.py:126}} INFO - [2021-01-14 22:50:24,633] {taskinstance.py:1396} ERROR - [Errno 2] No such file or directory: '/Users/chowli/Documents/Springboard_DE/Projects/mini-projects/Airflow/marketvol/tmp/data/2021-01-14/AAPL.csv'
[2021-01-21 06:38:36,446] {{bash_operator.py:126}} INFO - [2021-01-11 18:16:16,464] {taskinstance.py:1396} ERROR - 'AIRFLOW_HOME'
[2021-01-21 06:38:36,446] {{bash_operator.py:126}} INFO - [2021-01-11 18:16:23,724] {taskinstance.py:1396} ERROR - 'AIRFLOW_HOME'
[2021-01-21 06:38:36,447] {{bash_operator.py:126}} INFO - [2021-01-11 18:16:30,291] {taskinstance.py:1396} ERROR - 'AIRFLOW_HOME'
[2021-01-21 06:38:36,448] {{bash_operator.py:126}} INFO - [2021-01-11 18:16:36,843] {taskinstance.py:1396} ERROR - 'AIRFLOW_HOME'
[2021-01-21 06:38:36,448] {{bash_operator.py:126}} INFO - [2021-01-13 17:22:09,238] {taskinstance.py:1396} ERROR - [Errno 2] No such file or directory: '/Users/chowli/Documents/Springboard_DE/Projects/mini-projects/Airflow/marketvol/tmp/data/2021-01-13/TSLA.csv'
[2021-01-21 06:38:36,449] {{bash_operator.py:126}} INFO - [2021-01-13 17:22:20,880] {taskinstance.py:1396} ERROR - [Errno 2] No such file or directory: '/Users/chowli/Documents/Springboard_DE/Projects/mini-projects/Airflow/marketvol/tmp/data/2021-01-13/TSLA.csv'
[2021-01-21 06:38:36,450] {{bash_operator.py:126}} INFO - [2021-01-13 17:22:28,567] {taskinstance.py:1396} ERROR - [Errno 2] No such file or directory: '/Users/chowli/Documents/Springboard_DE/Projects/mini-projects/Airflow/marketvol/tmp/data/2021-01-13/TSLA.csv'
